iter	Logloss
0	0.6891312156
1	0.6852917357
2	0.6822182338
3	0.6782715722
4	0.6751452567
5	0.6718230595
6	0.6680600412
7	0.6646110009
8	0.6619659424
9	0.6589227852
10	0.6551606683
11	0.6517117952
12	0.6481088997
13	0.6451404003
14	0.6424357331
15	0.6397976652
16	0.6368969932
17	0.6339634444
18	0.6312488508
19	0.6284784873
20	0.6254485453
21	0.6223070361
22	0.6199614541
23	0.6174320489
24	0.6156537751
25	0.6130232148
26	0.6103599726
27	0.6072772479
28	0.6052540095
29	0.6031272159
30	0.6012021959
31	0.5991227246
32	0.596908638
33	0.5950287976
34	0.5927979918
35	0.5903199054
36	0.5885106128
37	0.5866555135
38	0.5841355986
39	0.5814315185
40	0.578891186
41	0.5768608164
42	0.5744560632
43	0.5730047619
44	0.5717596188
45	0.5697080266
46	0.5678136979
47	0.5659029755
48	0.5640440649
49	0.5621288151
50	0.5604016011
51	0.5584003293
52	0.5565413751
53	0.5549678599
54	0.5528886749
55	0.5507728632
56	0.5482464492
57	0.546704992
58	0.5453438431
59	0.5433730535
60	0.5419754527
61	0.5401237024
62	0.5386538728
63	0.5370275643
64	0.5356064238
65	0.5342714089
66	0.5323295284
67	0.5306394197
68	0.5289202455
69	0.5278398623
70	0.5264345461
71	0.5252039578
72	0.5240123474
73	0.5228955891
74	0.5215981106
75	0.5204906973
76	0.519621325
77	0.5184550617
78	0.5169861482
79	0.5160027657
80	0.5147210278
81	0.5137184583
82	0.5122717371
83	0.5105285673
84	0.5094913289
85	0.5084166494
86	0.5069033344
87	0.505812929
88	0.5043208195
89	0.5028478621
90	0.5018097314
91	0.5005968711
92	0.4995148601
93	0.4978437513
94	0.4968157569
95	0.4951937316
96	0.4938040059
97	0.4923320061
98	0.4913493654
99	0.4895890195
100	0.4885205235
101	0.4873974776
102	0.4864055454
103	0.4851847725
104	0.4842436435
105	0.483135201
106	0.4818733902
107	0.4807003434
108	0.4796059673
109	0.4786573963
110	0.4779868169
111	0.4771084247
112	0.4759110022
113	0.4747349322
114	0.4734501531
115	0.4724983597
116	0.4715503172
117	0.4698740327
118	0.4688490237
119	0.4676714625
120	0.4664376872
121	0.4654618495
122	0.4643826486
123	0.463231146
124	0.4622750218
125	0.4610571742
126	0.4596504668
127	0.4585810111
128	0.4575897788
129	0.4568620621
130	0.4558152564
131	0.454510641
132	0.4536060105
133	0.4528865808
134	0.4518412574
135	0.4508236875
136	0.4500271217
137	0.4491927362
138	0.4483769284
139	0.4477903076
140	0.4465367996
141	0.4456478029
142	0.4445009941
143	0.4436117104
144	0.4425823863
145	0.4416267776
146	0.4403767896
147	0.4393895008
148	0.4379613776
149	0.437182198
150	0.436301595
151	0.4355932574
152	0.4349232785
153	0.4338833819
154	0.4329178912
155	0.4320319766
156	0.4311012417
157	0.4300333739
158	0.4291171356
