iter	Passed	Remaining
0	149	149284
1	159	79683
2	167	55611
3	176	43847
4	184	36714
5	191	31777
6	199	28347
7	207	25736
8	214	23669
9	223	22098
10	230	20702
11	237	19541
12	246	18733
13	254	17927
14	264	17390
15	274	16896
16	286	16545
17	295	16145
18	308	15931
19	318	15614
20	327	15291
21	336	14972
22	343	14592
23	351	14311
24	358	13990
25	367	13769
26	375	13513
27	382	13280
28	390	13067
29	399	12901
30	405	12688
31	414	12549
32	421	12352
33	428	12181
34	435	12004
35	441	11823
36	448	11667
37	454	11507
38	461	11369
39	468	11250
40	475	11126
41	482	11004
42	489	10887
43	496	10779
44	502	10665
45	509	10573
46	516	10467
47	522	10362
48	529	10272
49	535	10173
50	542	10091
51	548	9997
52	553	9894
53	559	9805
54	565	9707
55	570	9614
56	576	9542
57	583	9474
58	589	9405
59	596	9345
60	602	9278
61	610	9235
62	617	9182
63	624	9130
64	631	9078
65	637	9015
66	645	8982
67	651	8935
68	659	8903
69	666	8848
70	673	8808
71	679	8758
72	685	8705
73	692	8662
74	698	8618
75	705	8574
76	711	8530
77	717	8482
78	724	8443
79	730	8397
80	736	8356
81	742	8314
82	748	8273
83	755	8235
84	760	8189
85	766	8141
86	773	8114
87	778	8068
88	784	8025
89	791	7999
90	797	7961
91	804	7936
92	809	7896
93	814	7854
94	821	7823
95	826	7783
96	832	7747
97	838	7715
98	843	7676
99	849	7642
100	854	7609
101	860	7573
102	865	7541
103	872	7519
104	879	7495
105	887	7482
106	893	7460
107	900	7439
108	907	7414
109	914	7399
110	921	7377
111	927	7352
112	935	7339
113	941	7318
114	948	7300
115	956	7287
116	962	7266
117	970	7253
118	976	7231
119	985	7225
120	992	7207
121	1000	7198
122	1008	7190
123	1017	7190
124	1025	7175
125	1034	7176
126	1042	7169
127	1052	7173
128	1062	7172
129	1070	7161
130	1077	7145
131	1084	7129
132	1090	7107
133	1096	7085
134	1102	7061
135	1107	7036
136	1114	7017
137	1119	6994
138	1125	6969
139	1131	6948
140	1136	6924
141	1141	6900
142	1147	6878
143	1153	6855
144	1158	6832
145	1164	6810
146	1169	6786
147	1174	6763
148	1180	6741
149	1185	6717
150	1191	6696
151	1197	6678
152	1202	6658
153	1208	6637
154	1213	6616
155	1219	6595
156	1224	6577
157	1230	6556
158	1235	6535
159	1241	6518
160	1247	6499
161	1252	6479
162	1258	6460
163	1263	6441
164	1269	6423
165	1275	6409
166	1282	6396
167	1289	6385
168	1296	6377
169	1303	6365
170	1309	6350
171	1316	6336
172	1323	6326
173	1330	6314
174	1336	6302
175	1343	6288
176	1349	6276
177	1356	6264
178	1364	6257
179	1370	6244
180	1377	6232
181	1384	6223
182	1391	6210
183	1396	6194
184	1402	6177
185	1407	6161
186	1413	6144
187	1418	6128
188	1425	6115
189	1431	6102
190	1437	6090
191	1444	6077
192	1450	6065
193	1457	6056
194	1464	6044
195	1470	6033
196	1477	6021
197	1484	6012
198	1491	6001
199	1497	5989
200	1504	5980
201	1510	5968
202	1517	5958
203	1523	5946
204	1530	5933
205	1536	5920
206	1541	5905
207	1547	5892
208	1553	5878
209	1558	5863
210	1564	5848
211	1569	5835
212	1575	5820
213	1580	5805
214	1586	5794
215	1592	5779
216	1597	5766
217	1604	5755
218	1609	5740
219	1614	5725
220	1620	5711
221	1625	5698
222	1631	5684
223	1636	5670
224	1642	5656
225	1648	5644
226	1653	5630
227	1658	5617
228	1664	5603
229	1669	5590
230	1675	5576
231	1680	5564
232	1686	5551
233	1691	5538
234	1697	5525
235	1702	5512
236	1708	5498
237	1713	5486
238	1718	5472
239	1724	5460
240	1730	5450
241	1736	5438
242	1741	5425
243	1747	5413
244	1752	5401
245	1758	5389
246	1763	5377
247	1769	5364
248	1775	5353
249	1780	5342
250	1786	5331
251	1792	5319
252	1797	5307
253	1803	5295
254	1808	5283
255	1814	5272
256	1819	5261
257	1825	5249
258	1830	5238
259	1836	5226
260	1841	5214
261	1847	5203
262	1852	5191
263	1857	5179
264	1863	5169
265	1869	5157
266	1874	5146
267	1880	5137
268	1886	5125
269	1891	5114
270	1897	5104
271	1902	5092
272	1908	5082
273	1914	5071
274	1919	5060
275	1925	5050
276	1930	5039
277	1936	5028
278	1942	5019
279	1948	5010
280	1954	5000
281	1960	4990
282	1965	4979
283	1971	4970
284	1977	4961
285	1983	4950
286	1988	4940
287	1994	4929
288	1999	4919
289	2004	4908
290	2010	4898
291	2015	4887
292	2021	4877
293	2026	4866
294	2033	4859
295	2039	4850
296	2044	4840
297	2050	4830
298	2056	4821
299	2061	4811
300	2067	4801
301	2073	4791
302	2078	4781
303	2084	4772
304	2090	4764
305	2096	4754
306	2101	4744
307	2107	4736
308	2113	4725
309	2119	4716
310	2125	4708
311	2130	4698
312	2136	4689
313	2142	4680
314	2147	4670
315	2153	4661
316	2158	4651
317	2164	4642
318	2170	4633
319	2175	4623
320	2181	4614
321	2188	4607
322	2194	4599
323	2201	4592
324	2208	4586
325	2214	4579
326	2221	4572
327	2228	4565
328	2235	4559
329	2241	4551
330	2248	4544
331	2254	4537
332	2261	4529
333	2267	4522
334	2273	4513
335	2279	4504
336	2285	4495
337	2290	4486
338	2296	4478
339	2302	4470
340	2308	4460
341	2314	4452
342	2320	4443
343	2325	4434
344	2331	4425
345	2336	4416
346	2342	4407
347	2347	4398
348	2353	4389
349	2358	4380
350	2364	4372
351	2372	4367
352	2378	4358
353	2384	4351
354	2390	4342
355	2396	4335
356	2403	4328
357	2410	4322
358	2417	4316
359	2425	4312
360	2433	4308
361	2441	4303
362	2449	4298
363	2456	4292
364	2464	4286
365	2471	4280
366	2478	4275
367	2486	4269
368	2493	4263
369	2500	4256
